Design, HBM Timing, Kernel Timing, LUT, FF, BRAM, URAM, DSP
all2all_32t32c, 450.0 MHz, 300.0 MHz, , , , , 
, Total, ,551913.0 (42.37%), 1023143.0 (39.27%), 700.0 (34.72%), 256.0 (26.67%), 4.0 (0.04%)
, Breakdown, , , , , , 
, , TGs, 344278.0 (26.43%), 586671.0 (22.52%), 480.0 (23.81%), 256.0 (26.67%), 0.0 (0.00%)
, , HMSS, 109451.0 (8.40%), 291786.0 (11.20%), 4.0 (0.20%), 0.0 (0.00%), 0.0 (0.00%)
, , Static Region, 93280.0 (7.16%), 128746.0 (4.94%), 200.0 (9.92%), 0.0 (0.00%), 4.0 (0.04%)
, , Others, 4904.0 (0.38%), 15940.0 (0.61%), 16.0 (0.79%), 0.0 (0.00%), 0.0 (0.00%)
one2one_32t32c, 450.0 MHz, 300.0 MHz, , , , , 
, Total, ,550114.0 (42.23%), 1018497.0 (39.09%), 700.0 (34.72%), 256.0 (26.67%), 4.0 (0.04%)
, Breakdown, , , , , , 
, , TGs, 344253.0 (26.43%), 586681.0 (22.52%), 480.0 (23.81%), 256.0 (26.67%), 0.0 (0.00%)
, , HMSS, 107654.0 (8.26%), 287130.0 (11.02%), 4.0 (0.20%), 0.0 (0.00%), 0.0 (0.00%)
, , Static Region, 93280.0 (7.16%), 128746.0 (4.94%), 200.0 (9.92%), 0.0 (0.00%), 4.0 (0.04%)
, , Others, 4927.0 (0.38%), 15940.0 (0.61%), 16.0 (0.79%), 0.0 (0.00%), 0.0 (0.00%)
grp4_all2all_32t32c, 450.0 MHz, 300.0 MHz, , , , , 
, Total, ,551810.0 (42.36%), 1023333.0 (39.28%), 700.0 (34.72%), 256.0 (26.67%), 4.0 (0.04%)
, Breakdown, , , , , , 
, , TGs, 344181.0 (26.42%), 586652.0 (22.52%), 480.0 (23.81%), 256.0 (26.67%), 0.0 (0.00%)
, , HMSS, 109445.0 (8.40%), 291995.0 (11.21%), 4.0 (0.20%), 0.0 (0.00%), 0.0 (0.00%)
, , Static Region, 93280.0 (7.16%), 128746.0 (4.94%), 200.0 (9.92%), 0.0 (0.00%), 4.0 (0.04%)
, , Others, 4904.0 (0.38%), 15940.0 (0.61%), 16.0 (0.79%), 0.0 (0.00%), 0.0 (0.00%)
grp4_all2all_16t32c, 450.0 MHz, 300.0 MHz, , , , , 
, Total, ,308818.0 (23.71%), 507538.0 (19.48%), 452.0 (22.42%), 128.0 (13.33%), 4.0 (0.04%)
, Breakdown, , , , , , 
, , TGs, 172367.0 (13.23%), 293908.0 (11.28%), 240.0 (11.90%), 128.0 (13.33%), 0.0 (0.00%)
, , HMSS, 39674.0 (3.05%), 74623.0 (2.86%), 4.0 (0.20%), 0.0 (0.00%), 0.0 (0.00%)
